Record Type Code|Record Category Code|Reinsurance Year|Commodity Year|Commodity Code|Insurance Plan Code|State Code|County Code|Type Code|Practice Code|End Date|Commodity Type Code|Class Code|Sub Class Code|Intended Use Code|Irrigation Practice Code|Cropping Practice Code|Organic Practice Code|Interval Code|Actual Ending Value Amount|Last Released Date|Released Date|Deleted Date|Filing Date
A00620|01|2025|2025|0801|81|01|998|809|204|20241125|809|031|997|997|997|997|997|204|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|809|211|20241125|809|031|997|997|997|997|997|211|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|809|303|20241125|809|031|997|997|997|997|997|303|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|809|305|20241125|809|031|997|997|997|997|997|305|281.280||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|810|201|20241125|809|032|997|997|997|997|997|201|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|810|202|20241125|809|032|997|997|997|997|997|202|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|810|206|20241125|809|032|997|997|997|997|997|206|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|810|210|20241125|809|032|997|997|997|997|997|210|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|810|301|20241125|809|032|997|997|997|997|997|301|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|811|202|20241125|810|031|997|997|997|997|997|202|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|811|206|20241125|810|031|997|997|997|997|997|206|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|811|207|20241125|810|031|997|997|997|997|997|207|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|811|212|20241125|810|031|997|997|997|997|997|212|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|812|201|20241125|810|032|997|997|997|997|997|201|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|812|202|20241125|810|032|997|997|997|997|997|202|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|812|203|20241125|810|032|997|997|997|997|997|203|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|812|204|20241125|810|032|997|997|997|997|997|204|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|812|206|20241125|810|032|997|997|997|997|997|206|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|812|209|20241125|810|032|997|997|997|997|997|209|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|812|211|20241125|810|032|997|997|997|997|997|211|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|812|302|20241125|810|032|997|997|997|997|997|302|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|812|303|20241125|810|032|997|997|997|997|997|303|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|812|305|20241125|810|032|997|997|997|997|997|305|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|812|306|20241125|810|032|997|997|997|997|997|306|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|813|201|20241125|811|031|997|997|997|997|997|201|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|813|205|20241125|811|031|997|997|997|997|997|205|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|813|209|20241125|811|031|997|997|997|997|997|209|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|813|211|20241125|811|031|997|997|997|997|997|211|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|813|309|20241125|811|031|997|997|997|997|997|309|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|813|311|20241125|811|031|997|997|997|997|997|311|255.710||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|814|210|20241125|811|032|997|997|997|997|997|210|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|814|309|20241125|811|032|997|997|997|997|997|309|230.140||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|815|201|20241125|812|031|997|997|997|997|997|201|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|815|206|20241125|812|031|997|997|997|997|997|206|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|815|210|20241125|812|031|997|997|997|997|997|210|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|815|211|20241125|812|031|997|997|997|997|997|211|127.860||20241203||20240430
A00620|01|2025|2025|0801|81|01|998|815|312|20241125|812|031|997|997|997|997|997|312|127.860||20241203||20240430
